date,NAV,NAV_ACC,NAV_ADJ,OPEN,HIGH,LOW,CLOSE,PCT_CHG
2016-03-22,2.179,3.055,3.8075889579999993,,,,,
2016-03-23,2.198,3.074,3.840789596,,,,,
2016-03-24,2.176,3.052,3.802346752,,,,,
2016-03-25,2.18,3.056,3.80933636,,,,,
2016-03-28,2.163,3.039,3.779630526,,,,,
2016-03-29,2.124,3.0,3.711481848,,,,,
2016-03-30,2.189,3.065,3.825062978,,,,,
2016-03-31,2.203,3.079,3.849526606,,,,,
2016-04-01,2.196,3.072,3.837294792,,,,,
2016-04-05,2.236,3.112,3.907190872,,,,,
2016-04-06,2.239,3.115,3.912433078,,,,,
2016-04-07,2.208,3.084,3.858263616,,,,,
2016-04-08,2.218,3.094,3.875737636,,,,,
2016-04-11,2.242,3.118,3.917675284,,,,,
2016-04-12,2.232,3.108,3.900201264,,,,,
2016-04-13,2.249,3.125,3.929907098,,,,,
2016-04-14,2.262,3.138,3.952623324,,,,,
2016-04-15,2.26,3.136,3.94912852,,,,,
2016-04-18,2.231,3.107,3.898453862,,,,,
2016-04-19,2.237,3.113,3.908938274,,,,,
2016-04-20,2.166,3.042,3.784872732,,,,,
2016-04-21,2.159,3.035,3.772640918,,,,,
2016-04-22,2.175,3.051,3.8005993499999993,,,,,
2016-04-25,2.183,3.059,3.8145785659999993,,,,,
2016-04-26,2.204,3.08,3.851274008,,,,,
2016-04-27,2.192,3.068,3.830305184,,,,,
2016-04-28,2.18,3.056,3.80933636,,,,,
2016-04-29,2.178,3.054,3.805841556,,,,,
2016-05-03,2.215,3.091,3.87049543,,,,,
2016-05-04,2.21,3.086,3.86175842,,,,,
2016-05-05,2.209,3.085,3.860011018,,,,,
2016-05-06,2.145,3.021,3.74817729,,,,,
2016-05-09,2.104,2.98,3.676533808,,,,,
2016-05-10,2.105,2.981,3.67828121,,,,,
2016-05-11,2.105,2.981,3.67828121,,,,,
2016-05-12,2.112,2.988,3.690513024,,,,,
2016-05-13,2.109,2.985,3.685270818,,,,,
2016-05-16,2.131,3.007,3.7237136619999993,,,,,
2016-05-17,2.122,2.998,3.707987044,,,,,
2016-05-18,2.087,2.963,3.646827974,,,,,
2016-05-19,2.09,2.966,3.65207018,,,,,
2016-05-20,2.108,2.984,3.683523416,,,,,
2016-05-23,2.129,3.005,3.720218858,,,,,
2016-05-24,2.115,2.991,3.69575523,,,,,
2016-05-25,2.109,2.985,3.685270818,,,,,
2016-05-26,2.119,2.995,3.702744838,,,,,
2016-05-27,2.116,2.992,3.697502632,,,,,
2016-05-30,2.113,2.989,3.692260426,,,,,
2016-05-31,2.172,3.048,3.795357144,,,,,
2016-06-01,2.175,3.051,3.8005993499999993,,,,,
2016-06-02,2.183,3.059,3.8145785659999993,,,,,
2016-06-03,2.204,3.08,3.851274008,,,,,
2016-06-06,2.199,3.075,3.842536998,,,,,
2016-06-07,2.203,3.079,3.849526606,,,,,
2016-06-08,2.189,3.065,3.825062978,,,,,
2016-06-13,2.117,2.993,3.699250034,,,,,
2016-06-14,2.118,2.994,3.700997436,,,,,
2016-06-15,2.166,3.042,3.784872732,,,,,
2016-06-16,2.164,3.04,3.781377928,,,,,
2016-06-17,2.173,3.049,3.797104546,,,,,
2016-06-20,2.187,3.063,3.821568174,,,,,
2016-06-21,2.181,3.057,3.811083762,,,,,
2016-06-22,2.198,3.074,3.840789596,,,,,
2016-06-23,2.185,3.061,3.81807337,,,,,
2016-06-24,2.174,3.05,3.798851948,,,,,
2016-06-27,2.209,3.085,3.860011018,,,,,
2016-06-28,2.24,3.116,3.91418048,,,,,
2016-06-29,2.237,3.113,3.908938274,,,,,
2016-06-30,2.239,3.115,3.912433078,,,,,
2016-07-01,2.244,3.12,3.921170088,,,,,
2016-07-04,2.268,3.144,3.963107736,,,,,
2016-07-05,2.27,3.146,3.96660254,,,,,
2016-07-06,2.277,3.153,3.978834354,,,,,
2016-07-07,2.278,3.154,3.980581756,,,,,
2016-07-08,2.274,3.15,3.973592148,,,,,
2016-07-11,2.265,3.141,3.95786553,,,,,
2016-07-12,2.296,3.172,4.012034991999999,,,,,
